,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,age_bin
20,January,Monday,Based on Radio Run,POM,SGT,Y,PSB,1,BURGLARY,5,Y,N,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,6.1,160.0,THN,BRO,XXX,78,C,PBBS,BROOKLYN,over_30
21,January,Monday,Based on Radio Run,POM,LT,Y,PSB,1,PETIT LARCENY,15,Y,Y,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,6.7,160.0,THN,BRO,BLK,94,A,PBBN,BROOKLYN,18_30
22,January,Monday,Based on Radio Run,POM,LT,Y,PSB,1,PETIT LARCENY,15,Y,Y,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE,5.4,150.0,MED,GRY,BLN,94,A,PBBN,BROOKLYN,18_30
23,January,Monday,Based on Radio Run,POM,SGT,Y,(null),1,CRIMINAL POSSESSION OF MARIHUANA,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.5,260.0,HEA,BRO,BRO,103,A,PBQS,QUEENS,18_30
24,January,Monday,Based on Radio Run,POM,SGT,Y,(null),1,ASSAULT,20,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.11,170.0,THN,BRO,BLK,33,C,PBMN,MANHATTAN,18_30
25,January,Monday,Based on Self Initiated,POM,SGT,Y,(null),3,CPW,12,Y,Y,N,(null),N,N,(null),(null),V,Y,Y,Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),MALE,BLACK,5.7,140.0,THN,BRO,BLK,52,B,PBBX,BRONX,18_30
26,January,Monday,Based on Radio Run,POM,SGT,Y,(null),0,ASSAULT,14,Y,Y,N,(null),N,Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),MALE,BLACK,6.3,200.0,MED,BRO,BLK,113,D,PBQS,QUEENS,over_30
27,January,Tuesday,Based on Radio Run,POF,SGT,Y,Housing,10,CRIMINAL TRESPASS,10,Y,Y,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.8,160.0,MED,BRO,BLK,9,A,PBMS,MANHATTAN,18_30
29,January,Tuesday,Based on Self Initiated,POM,SGT,Y,PSB,0,GRAND LARCENY AUTO,5,Y,N,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,WHITE,5.9,150.0,THN,BRO,BLK,14,A,PBMS,MANHATTAN,over_30
30,January,Tuesday,Based on Radio Run,POM,SGT,N,PSB,1,ASSAULT,10,Y,N,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.11,175.0,MED,BRO,XXX,32,C,PBMN,MANHATTAN,over_30
